from,to,amp_in_I_ph1,deg_in_I_ph1,amp_in_I_ph2,deg_in_I_ph2,amp_in_I_ph3,deg_in_I_ph3,amp_out_I_ph1,deg_out_I_ph1,amp_out_I_ph2,deg_out_I_ph2,amp_out_I_ph3,deg_out_I_ph3
60,632,558.36,-28.57,414.86,-140.91,586.53,93.59,558.37,-28.57,414.87,-140.91,586.54,93.59
632,633,81.33,-37.74,61.12,-159.09,62.7,80.48,81.33,-37.74,61.12,-159.09,62.7,80.48
632,645,,,143.03,-142.66,65.21,57.83,,,143.03,-142.66,65.21,57.83
632,671,478.26,-27.02,215.12,-134.65,475.45,99.91,470.16,-26.89,186.41,-131.88,420.59,101.67
633,634,81.33,-37.74,61.12,-159.09,62.7,80.48,704.83,-37.74,529.74,-159.09,543.41,80.48
645,646,,,65.21,-122.17,65.21,57.83,,,65.21,-122.17,65.21,57.83
650,60,593.26,-28.57,435.61,-140.91,626.86,93.59,558.36,-28.57,414.86,-140.91,586.53,93.59
671,680,0.0,90.68,0.0,-40.94,0.0,-150.49,0.0,0.0,0.0,0.0,0.0,0.0
671,684,63.07,-39.11,,,71.15,121.62,63.07,-39.12,,,71.15,121.62
671,692,229.09,-18.16,69.61,-55.19,178.35,109.41,229.09,-18.16,69.61,-55.19,178.35,109.41
684,611,,,,,71.15,121.62,,,,,71.15,121.62
684,652,63.07,-39.12,,,,,63.08,-39.14,,,,
692,675,205.32,-5.13,69.61,-55.19,124.05,111.81,205.32,-5.14,69.58,-55.2,124.05,111.8
