from,to,ploss_ph1,qloss_ph1,ploss_ph2,qloss_ph2,ploss_ph3,qloss_ph3,ploss_totals,qloss_totals
60,632,21514.0,79416.9,-3247.3,32101.8,41440.7,81184.1,59707.4,192702.8
632,633,354.2,520.5,147.9,261.4,305.5,243.5,807.6,1025.4
632,645,,,2545.8,2162.8,220.6,227.5,2766.4,2390.3
632,671,10520.1,65393.9,-6174.7,4369.6,31513.4,44580.1,35858.7,114343.5
633,634,2518.1,4578.4,1422.4,2586.2,1496.8,2721.4,5437.3,9886.0
645,646,,,271.0,212.7,270.2,215.2,541.2,427.9
650,60,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
671,680,-0.9,-8.5,1.3,-8.7,-0.4,-7.0,0.0,-24.2
671,684,211.1,211.9,,,371.0,258.0,582.1,469.9
671,692,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
684,611,,,,,382.3,386.2,382.3,386.2
684,652,809.2,233.4,,,,,809.2,233.4
692,675,3217.2,2055.7,344.9,518.8,572.8,-81.9,4134.9,2492.5
